Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
66.232,0.040021,0.040021
41.916,0.053083,0.053083
25.685,0.065921,0.065921
15.74,0.080092,0.080092
13.364,0.093285,0.093285
12.378,0.10634,0.10634
10.86,0.11988,0.11988
9.2224,0.13364,0.13364
7.6644,0.14574,0.14574
