Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.2,20.18,20.18
0.25,25.64,25.64
0.4,40.52,40.52
0.5,50.45,50.45
0.73,74.13,74.13
0.82,83.13,83.13
1.0,101.34,101.34
