Equivalence Ratio,Equivalence Ratio
0.755708,0.755708
0.752803,0.752803
0.861421,0.861421
0.861261,0.861261
1.00676,1.00676
1.00465,1.00465
1.00402,1.00402
1.005,1.005
1.0026,1.0026
1.09295,1.09295
1.20115,1.20115
1.20189,1.20189
1.27472,1.27472
1.27248,1.27248
1.27488,1.27488
1.336,1.336
