Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.3967,40.18571,40.18571
0.3966,40.17558,40.17558
0.3991,40.42883,40.42883
0.3931,39.82103,39.82103
0.3369,34.12797,34.12797
0.3341,33.84433,33.84433
0.2712,27.47256,27.47256
0.2018,20.44234,20.44234
0.2016,20.42208,20.42208
0.1593,16.13709,16.13709
0.1604,16.24852,16.24852
0.1363,13.80719,13.80719
0.1361,13.78693,13.78693
0.1084,10.98092,10.98092
0.109,11.0417,11.0417
