Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
3.51,0.15,0.15
3.95,0.13,0.13
4.71,0.12,0.12
5.25,0.11,0.11
6.53,0.09,0.09
8.12,0.08,0.08
9.56,0.07,0.07
10.21,0.07,0.07
12.56,0.05,0.05
14.16,0.05,0.05
18.0,0.04,0.04
19.21,0.04,0.04
26.66,0.03,0.03
35.03,0.02,0.02
48.61,0.01,0.01
