Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.065,6.5845,6.5845
0.0776,7.86088,7.86088
0.1,10.13,10.13
0.104,10.5352,10.5352
0.129,13.0677,13.0677
0.26,26.338,26.338
0.241,24.4133,24.4133
