Cell Length (mm),Initial Pressure (bar),Initial Pressure (bar)
5.49,45.98,45.98
6.61,32.92,32.92
7.97,20.76,20.76
12.5,11.28,11.28
21.0,8.09,8.09
18.76,5.33,5.33
42.96,3.79,3.79
40.6,3.15,3.15
44.03,2.74,2.74
