Initial Pressure (kPa),Initial Pressure (kPa)
27.46243,27.46243
27.47256,27.47256
40.26675,40.26675
40.57065,40.57065
54.08407,54.08407
80.95896,80.95896
81.5465,81.5465
107.8541,107.8541
130.7074,130.7074
161.5431,161.5431
