Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0137,1.38781,1.38781
0.0203,2.05639,2.05639
0.0203,2.05639,2.05639
0.0276,2.79588,2.79588
0.0271,2.74523,2.74523
0.0408,4.13304,4.13304
0.0399,4.04187,4.04187
0.04,4.052,4.052
0.0669,6.77697,6.77697
0.0656,6.64528,6.64528
0.0997,10.09961,10.09961
0.0919,9.30947,9.30947
0.1101,11.15313,11.15313
0.113,11.4469,11.4469
0.1118,11.32534,11.32534
0.1453,14.71889,14.71889
0.172,17.4236,17.4236
