Initial Pressure (torr),Initial Pressure (kPa),Initial Pressure (kPa)
33.3649,4.44828749,4.44828749
52.248,6.965827105,6.965827105
84.9503,11.32577519,11.32577519
124.562,16.60690086,16.60690086
199.905,26.65180806,26.65180806
295.835,39.44142286,39.44142286
296.498,39.52981559,39.52981559
390.961,52.12384648,52.12384648
394.463,52.59074141,52.59074141
502.982,67.05875151,67.05875151
762.281,101.6291083,101.6291083
885.376,118.0404253,118.0404253
