Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
0.7912,0.1079,0.1079
1.0709,0.0966,0.0966
1.2624,0.0821,0.0821
1.5674,0.0669,0.0669
1.98,0.0545,0.0545
3.4445,0.0398,0.0398
5.0852,0.0269,0.0269
6.8256,0.0198,0.0198
