Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
0.9029,0.1322,0.1322
1.0414,0.1175,0.1175
1.2411,0.1022,0.1022
1.5104,0.0939,0.0939
2.0072,0.0792,0.0792
2.3678,0.066,0.066
3.3977,0.0522,0.0522
3.9126,0.0517,0.0517
5.0949,0.0395,0.0395
5.618,0.0391,0.0391
10.83,0.0261,0.0261
18.6098,0.0128,0.0128
