Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.1318,13.35134,13.35134
0.1051,10.64663,10.64663
0.0795,8.05335,8.05335
0.0787,7.97231,7.97231
0.0662,6.70606,6.70606
0.0607,6.14891,6.14891
