Initial Pressure (kPa),Initial Pressure (kPa)
19.3483,19.3483
15.3976,15.3976
9.43103,9.43103
9.37025,9.37025
5.13591,5.13591
4.91305,4.91305
2.27925,2.27925
2.66419,2.66419
