Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
0.9138,0.1329,0.1329
1.0985,0.1185,0.1185
1.2882,0.105,0.105
1.5114,0.0984,0.0984
1.5483,0.0912,0.0912
2.016,0.0787,0.0787
2.1414,0.0655,0.0655
2.4075,0.0659,0.0659
3.7923,0.0523,0.0523
4.2545,0.0388,0.0388
5.4434,0.0385,0.0385
5.2,0.032,0.032
6.9026,0.0257,0.0257
10.5391,0.0193,0.0193
19.2243,0.0129,0.0129
