Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.099878,10.120128,10.120128
0.131183,13.292117,13.292117
0.135309,13.710184,13.710184
0.141958,14.383894,14.383894
0.176894,17.923785,17.923785
0.195759,19.835281,19.835281
0.211839,21.464587,21.464587
0.227314,23.032591,23.032591
0.264016,26.751421,26.751421
0.277056,28.072699,28.072699
0.333158,33.757234,33.757234
0.390346,39.551808,39.551808
