Equivalence Ratio,Critical Charge (kg tetryl),Critical Charge (kg tetryl)
0.61143,0.00238,0.00238
0.796951,0.000961,0.000961
1.19051,0.00112,0.00112
1.12436,0.00126,0.00126
1.42182,0.00234,0.00234
