Initial Pressure (kPa),Initial Pressure (kPa)
20.17896,20.17896
20.07766,20.07766
14.49603,14.49603
8.0027,8.0027
8.0027,8.0027
7.38477,7.38477
7.28347,7.28347
5.01435,5.01435
4.99409,4.99409
