Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.231532,23.45998,23.45998
0.259714,26.315521,26.315521
0.304143,30.817289,30.817289
0.306935,31.100189,31.100189
0.329246,33.360851,33.360851
0.369185,37.40767,37.40767
0.406594,41.198137,41.198137
0.455947,46.19883,46.19883
