Initial Pressure (kPa),Initial Pressure (kPa)
159.2233,159.2233
161.3506,161.3506
131.4266,131.4266
130.4947,130.4947
104.1871,104.1871
106.3144,106.3144
80.80701,80.80701
53.27367,53.27367
39.68934,39.68934
20.30052,20.30052
