Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
9.1048,0.1341,0.1341
10.053,0.1204,0.1204
13.205,0.10952,0.10952
15.401,0.095234,0.095234
20.033,0.079386,0.079386
35.314,0.067158,0.067158
