Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
18.567,0.039613,0.039613
16.244,0.052445,0.052445
12.35,0.066365,0.066365
11.421,0.079739,0.079739
9.1758,0.093585,0.093585
7.3759,0.10517,0.10517
6.4664,0.11831,0.11831
5.6132,0.12334,0.12334
