Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.3011,30.50143,30.50143
0.3001,30.40013,30.40013
0.4008,40.60104,40.60104
0.4022,40.74286,40.74286
0.5005,50.70065,50.70065
0.6012,60.90156,60.90156
0.8031,81.35403,81.35403
1.0,101.3,101.3
1.0,101.3,101.3
