Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
6.7631,0.0194,0.0194
5.2964,0.026,0.026
3.3874,0.0394,0.0394
2.0226,0.0519,0.0519
1.6031,0.0665,0.0665
1.3097,0.079,0.079
1.1034,0.0932,0.0932
0.8369,0.1046,0.1046
0.6967,0.1315,0.1315
