Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0699,7.08087,7.08087
0.0775,7.85075,7.85075
0.0951,9.63363,9.63363
0.1041,10.54533,10.54533
0.1141,11.55833,11.55833
0.1282,12.98666,12.98666
0.1268,12.84484,12.84484
0.1469,14.88097,14.88097
0.1593,16.13709,16.13709
0.1744,17.66672,17.66672
0.1955,19.80415,19.80415
0.2602,26.35826,26.35826
0.2605,26.38865,26.38865
0.2886,29.23518,29.23518
0.3124,31.64612,31.64612
0.3235,32.77055,32.77055
0.3202,32.43626,32.43626
0.3585,36.31605,36.31605
0.3583,36.29579,36.29579
0.3969,40.20597,40.20597
0.4249,43.04237,43.04237
0.3972,40.23636,40.23636
0.3843,38.92959,38.92959
0.4208,42.62704,42.62704
0.435,44.0655,44.0655
0.4655,47.15515,47.15515
0.4935,49.99155,49.99155
0.4562,46.21306,46.21306
0.483,48.9279,48.9279
0.5172,52.39236,52.39236
