Equivalence Ratio,Critical Charge (kg tetryl),Critical Charge (kg tetryl)
0.69974,1.4269,1.4269
0.80812,0.17828,0.17828
0.90392,0.063442,0.063442
1.0054,0.034314,0.034314
1.0947,0.026422,0.026422
1.1897,0.028965,0.028965
1.2965,0.039663,0.039663
1.3794,0.065226,0.065226
1.6992,0.35305,0.35305
1.989,2.7562,2.7562
