Initial Pressure (kPa),Initial Pressure (kPa)
1.99,1.99
2.1,2.1
2.69,2.69
2.71,2.71
2.68,2.68
4.0,4.0
4.03,4.03
4.48,4.48
5.37,5.37
5.36,5.36
5.92,5.92
6.1,6.1
6.09,6.09
6.04,6.04
6.52,6.52
6.63,6.63
6.78,6.78
7.37,7.37
7.47,7.47
7.64,7.64
8.24,8.24
7.51,7.51
7.57,7.57
8.11,8.11
9.95,9.95
13.34,13.34
14.77,14.77
20.16,20.16
