Initial Pressure (kPa),Initial Pressure (kPa)
10.0,10.0
11.5,11.5
25.0,25.0
26.5,26.5
39.5,39.5
41.0,41.0
50.0,50.0
51.5,51.5
100.0,100.0
101.5,101.5
