Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.01,1.37,1.37
0.01,1.37,1.37
0.02,2.02,2.02
0.02,2.01,2.01
0.06,5.62,5.62
0.06,6.13,6.13
0.07,6.67,6.67
0.06,5.63,5.63
0.07,7.48,7.48
