Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.201,20.3,20.3
0.243,24.6,24.6
0.3,30.4,30.4
0.345,35.0,35.0
0.397,40.2,40.2
0.496,50.3,50.3
0.595,60.3,60.3
0.684,69.3,69.3
0.856,86.7,86.7
0.984,99.7,99.7
1.23,125.0,125.0
1.46,147.0,147.0
1.7,172.0,172.0
1.65,167.0,167.0
1.9,192.0,192.0
2.25,228.0,228.0
2.93,297.0,297.0
3.14,318.0,318.0
3.61,366.0,366.0
3.82,387.0,387.0
4.28,433.0,433.0
4.4,446.0,446.0
4.85,491.0,491.0
5.13,519.0,519.0
5.05,512.0,512.0
6.06,613.0,613.0
6.06,614.0,614.0
7.17,726.0,726.0
7.06,716.0,716.0
7.47,757.0,757.0
7.36,746.0,746.0
8.01,811.0,811.0
8.84,895.0,895.0
9.08,920.0,920.0
10.0,1020.0,1020.0
12.2,1230.0,1230.0
