Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.087045,8.819855,8.819855
0.117294,11.884815,11.884815
0.131043,13.277932,13.277932
0.15346,15.549335,15.549335
0.163292,16.545562,16.545562
0.185525,18.798321,18.798321
0.196404,19.900635,19.900635
0.2261,22.909583,22.909583
0.201863,20.453768,20.453768
0.313035,31.718271,31.718271
0.321414,32.567274,32.567274
0.346374,35.096346,35.096346
0.361951,36.674685,36.674685
0.391695,39.688496,39.688496
