Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
57.602,0.027044,0.027044
44.651,0.039914,0.039914
27.881,0.054431,0.054431
18.808,0.067356,0.067356
15.099,0.081733,0.081733
12.394,0.094973,0.094973
8.2548,0.13688,0.13688
