Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.19,18.83,18.83
0.23,22.88,22.88
0.26,26.5,26.5
0.29,29.8,29.8
0.32,32.04,32.04
0.37,37.35,37.35
0.41,41.59,41.59
0.39,39.14,39.14
0.45,45.91,45.91
