Equivalence Ratio,Critical Charge (kg tetryl),Critical Charge (kg tetryl)
0.70466,6.5087,6.5087
0.89687,0.32554,0.32554
0.99308,0.062636,0.062636
1.124,0.047609,0.047609
1.2546,0.06107,0.06107
1.4144,0.16301,0.16301
1.633,1.1309,1.1309
1.7867,4.1321,4.1321
1.9519,22.947,22.947
