Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0927,9.39051,9.39051
0.1063,10.76819,10.76819
0.0938,9.50194,9.50194
0.1125,11.39625,11.39625
0.0993,10.05909,10.05909
0.129,13.0677,13.0677
0.1638,16.59294,16.59294
0.1965,19.90545,19.90545
0.2279,23.08627,23.08627
0.2613,26.46969,26.46969
0.2928,29.66064,29.66064
0.3281,33.23653,33.23653
0.3635,36.82255,36.82255
0.3936,39.87168,39.87168
0.4263,43.18419,43.18419
0.4564,46.23332,46.23332
0.4999,50.63987,50.63987
0.5353,54.22589,54.22589
