Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0143,1.44859,1.44859
0.0328,3.32264,3.32264
0.0794,8.04322,8.04322
0.1056,10.69728,10.69728
0.1331,13.48303,13.48303
