Equivalence Ratio,Equivalence Ratio
0.65,0.65
0.7,0.7
0.74,0.74
0.76,0.76
0.83,0.83
0.84,0.84
0.95,0.95
1.23,1.23
1.52,1.52
1.87,1.87
