Cell Length (mm),Initial Pressure (bar),Initial Pressure (bar)
10.1486,3.959,3.959
11.9426,3.0208,3.0208
20.5593,1.5891,1.5891
31.9776,1.0338,1.0338
38.6566,0.7088,0.7088
