Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
2.0551,0.157,0.157
2.7101,0.1441,0.1441
3.0588,0.13,0.13
3.2497,0.1193,0.1193
3.7968,0.1031,0.1031
4.3601,0.0891,0.0891
4.7129,0.0777,0.0777
5.3193,0.0649,0.0649
6.1615,0.0537,0.0537
10.8079,0.0405,0.0405
17.8448,0.0275,0.0275
