Equivalence Ratio,Critical Charge (kg tetryl),Critical Charge (kg tetryl)
0.71066,5.9393,5.9393
0.81941,0.43401,0.43401
1.0169,0.061023,0.061023
1.13,0.043443,0.043443
1.2665,0.056462,0.056462
1.3555,0.080407,0.080407
1.462,0.15472,0.15472
1.6984,1.0876,1.0876
2.0411,22.656,22.656
