Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.1131,11.45703,11.45703
0.0824,8.34712,8.34712
0.0606,6.13878,6.13878
0.0468,4.74084,4.74084
0.0346,3.50498,3.50498
0.0272,2.75536,2.75536
0.0217,2.19821,2.19821
0.0149,1.50937,1.50937
0.0135,1.36755,1.36755
