Initial Pressure (torr),Initial Pressure (kPa),Initial Pressure (kPa)
19.0034,2.533578296,2.533578296
38.8245,5.176174293,5.176174293
49.3782,6.583218572,6.583218572
97.4235,12.98873176,12.98873176
137.348,18.31156066,18.31156066
245.317,32.70624345,32.70624345
236.426,31.52087428,31.52087428
422.883,56.37976313,56.37976313
681.249,90.82573016,90.82573016
727.787,97.03028655,97.03028655
