Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.144273,14.618462,14.618462
0.16977,17.201945,17.201945
0.183654,18.608742,18.608742
0.193649,19.621485,19.621485
0.209576,21.235288,21.235288
0.229894,23.29401,23.29401
0.25888,26.231016,26.231016
0.322525,32.679846,32.679846
0.355182,35.988816,35.988816
0.355384,36.009284,36.009284
0.386382,39.150156,39.150156
0.462681,46.881152,46.881152
