Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.1985,20.10805,20.10805
0.1854,18.78102,18.78102
0.1717,17.39321,17.39321
0.1577,15.97501,15.97501
0.1448,14.66824,14.66824
0.1296,13.12848,13.12848
0.115,11.6495,11.6495
0.0905,9.16765,9.16765
0.0777,7.87101,7.87101
0.0638,6.46294,6.46294
0.0516,5.22708,5.22708
