Initial Pressure (kPa),Initial Pressure (kPa)
4.01148,4.01148
7.04035,7.04035
10.34273,10.34273
13.19939,13.19939
19.91558,19.91558
26.52034,26.52034
33.11497,33.11497
39.80077,39.80077
